Name,rank,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
UniversitÃ© Grenoble Alpes,294,0.4572262614965439,0.17846216139150783,0.0001425985865353141,0.00014259526506066322,0.12475675909081474,0.000142593515192857,0.00014259816816775128,0.00014259675299399532,0.003838455770164728,0.11701922304928303
University of East Anglia,295,6.243235657166224e-05,6.243140160222538e-05,6.243133611860685e-05,0.0018365494925092207,6.243181087484118e-05,6.243121788429562e-05,6.24314161541406e-05,0.025338925912365085,0.10281372280951473,0.39516239823751675
UCSI University,300,0.014260263076721458,0.0008297925342048984,0.018880668652855093,7.298647869902197e-05,7.298438322322909e-05,0.007992908223968698,7.298506898223422e-05,0.06178372539579868,0.05895140045322478,0.6167847216129303
Iowa State University,400,0.0296736359159695,0.00019396196148591116,0.0001939596695592627,0.5145225375890732,0.0001939564463100396,0.00019395785056985915,0.00019395896379137412,0.0001939598805620335,0.0001939635258167982,0.028334984519460704
Masaryk University,400,0.12620745468029781,2.60034703387646e-05,2.6003792299889028e-05,2.6003302991739474e-05,0.0024543852459828486,2.6003487619163934e-05,2.6003215680248104e-05,0.37126013505439914,2.600366042315727e-05,2.6003607672464568e-05
Universidade Nova de Lisboa,400,0.5015289634466171,0.010373860597610474,2.6358186005381867e-05,0.009249570766769466,0.11364378407597542,0.010250246115901973,0.009619235973332252,0.11944065429270267,0.010581710608676076,0.03872674237936735
University of Granada,403,0.8690120577812195,0.0010043460652013891,2.3641527150175534e-05,2.364142710575834e-05,0.008619473492217367,2.3641387997486163e-05,2.3641378902539145e-05,0.0031191793914331356,0.005050745317930705,2.3641768166271504e-05
Istanbul Technical University,404,2.0400013454491273e-05,0.4050956899227458,0.0006781626998417778,2.0399537788762245e-05,0.020117965794270276,2.0399460481712595e-05,0.0001621742903807899,0.12800630182027817,2.039922128460603e-05,2.0399582354002632e-05
"University of California, Riverside",404,0.0001995117127080448,0.03151724531198852,0.000199508634977974,0.598337858915329,0.00019950490968767554,0.012959137959114742,0.06723808166134404,0.00019951481226598844,0.00019950705609517172,0.12041025140933925
University of the Philippines,404,0.2162240371108055,9.168792894342914e-05,9.168776159640402e-05,0.09507036907598376,9.168834731099196e-05,9.168812175630592e-05,0.16930540942121297,0.11274237930774689,9.168772521661595e-05,0.3368510901927948
Auckland University of Technology (AUT),407,5.964156298432499e-05,5.964057709206827e-05,5.964050615148153e-05,5.9644205975928344e-05,5.964180309092626e-05,5.9642236010404304e-05,5.964183947071433e-05,5.9642134146997705e-05,0.4997017800305912,5.9643041822710074e-05
University of Southern Queensland ,410,0.00048767511907499284,0.00048766419058665633,0.0004876756138401106,0.000487687939312309,0.00048766599502414465,0.0004876715102000162,0.0004876686434727162,0.0004876609891653061,0.06233247584896162,0.4730062000453472
Oxford Brookes University,413,4.8323176088160835e-05,4.832241029362194e-05,4.8321720896638e-05,4.832315244129859e-05,4.832159174839035e-05,4.8322719521820545e-05,0.003299654144939268,4.8322139264200814e-05,0.48920305259525776,0.11895185522735119
Royal Holloway University of London,413,0.06406748294830322,0.00010036844832939096,0.00010037058746092953,0.00010036967069027014,0.00010036819730885327,0.00010036573803517967,0.00010036621824838221,0.00010036701860371977,0.1630112071907206,0.3301478773355484
The American University in Cairo,415,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602
Washington State University,419,2.3967892047949135e-05,0.06545391858253424,2.396767922618892e-05,0.3572983610756637,2.3967569177330006e-05,2.39676692217472e-05,0.051746910367000964,0.0001574382149556186,2.396757099631941e-05,0.02531935081970005
Université de Strasbourg,421,0.5785112231969833,0.07923556763125816,0.02782897651195526,0.00016321669681929052,0.01116172051843023,0.0001632076091482304,0.0001632142302696593,0.0001632153507671319,0.00016321671137120575,0.051836500999343116
University of Canberra ,421,8.003114999155514e-05,8.00284142314922e-05,8.002925460459664e-05,8.003440598258749e-05,8.002931645023637e-05,8.00300549599342e-05,8.003120456123725e-05,8.002821778063662e-05,0.3169694518946926,0.1827103323485062
University of Limerick,426,0.00015948049895087024,2.0709388081741054e-05,2.070917162200203e-05,0.417009114135908,0.0009763964990270324,2.0709102500404697e-05,2.070886876026634e-05,2.0709260752482805e-05,0.3688482269644737,0.00042823418607440544
Anna University,427,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602
Koç University,431,0.021545653842622414,0.23891642282978864,0.07298212038585916,0.05109547791653313,0.055603611283004284,0.0002310523996129632,0.07380983568873489,0.06464919075369835,0.00023104919091565534,0.10901500284671783
Murdoch University,431,8.662382970214821e-05,8.662298569106497e-05,8.662345135235228e-05,0.06543108620098792,8.662174877827056e-05,0.0050119937368435785,0.0040646323905093595,0.004056362970004557,0.09690208530810196,0.5896320343017578
National Taipei University of Technology,431,0.14006514102220535,0.06872077852676739,0.016019144473830238,0.006726129493472399,0.00011019557859981433,0.00011019370867870748,0.00011019444718840532,0.09798591956496239,0.00011019091107300483,0.6427240967750549
University of Stirling,431,5.2790823247050866e-05,5.278896787785925e-05,5.2789544497500174e-05,5.2790181143791415e-05,5.278910612105392e-05,5.279002834868152e-05,5.278998287394643e-05,5.2789560868404806e-05,0.13062260800870718,0.37746779061853886
Dublin City University,436,0.004169646184891462,0.004169533378444612,0.004169362713582814,0.004169628024101257,0.004169300780631602,0.004169434425421059,0.004169384948909283,0.00416922802105546,0.47915067395661026,0.004169585998170078
Tampere University,436,0.11670859563309932,0.00020968725584680215,0.00020906685676891357,0.0002090727793984115,0.3827575147151947,0.0002090646667056717,0.025521939976897556,0.0002090724665322341,0.00020906946156173944,0.21490385383367538
University of Science and Technology Beijing,436,6.34780681139091e-05,0.014842951795799308,0.24925363024158287,6.347814269247465e-05,0.261018680408597,6.347690032271203e-05,6.347768430714495e-05,0.11666673049330711,0.005594221995124826,0.2793659269809723
University of St.Gallen (HSG),436,0.3890319252386689,6.052800017641857e-05,6.0528704125317745e-05,6.052928256394807e-05,0.013384573854636983,6.052825119695626e-05,6.052865683159325e-05,6.0527971072588116e-05,0.1101959913448809,0.00010366790775151458
 University of Dundee,441,5.1610617447295226e-05,5.160975706530735e-05,5.160950240679085e-05,5.1611201342893764e-05,5.161006447451655e-05,5.161002991371788e-05,5.161021545063704e-05,5.1609878937597387e-05,0.2823748455812165,0.21991912205703557
Université Laval,441,0.020151392127445433,0.09329560281912563,0.23863317098948755,0.0947054627504258,0.031185357187496265,0.00012301675815251656,0.00012301828246563673,0.00012301679089432582,0.00012390447227517143,0.23084516823291779
University of Utah,441,0.0003349927574163303,0.026163667178479955,0.00033499320852570236,0.44230496138334274,0.00033500946301501244,0.0003350019978825003,0.0003350195474922657,0.00033499269920866936,0.002800668793497607,0.2395901009440422
University of Connecticut,444,0.0014632916427217424,0.0014633169048465788,0.0014632967649959028,0.3601832315325737,0.0014633017126470804,0.0014633114915341139,0.26795729249715805,0.0014632689417339861,0.0014632937964051962,0.12280574050964788
Aston University,446,0.00017093095812015235,0.060301218523818534,0.00017092312191380188,0.0001709273856249638,0.00017092653433792293,0.00017092255438910797,0.00017092347843572497,0.00017092588677769527,0.3671868856981746,0.07199887598108035
"The University of Tennessee, Knoxville",446,0.1854419345909264,0.0008597483392804861,0.0008597438572905958,0.31111807469278574,0.0008597652777098119,0.0008597514824941754,0.0008597338746767491,0.0008597880660090595,0.0008597697888035327,0.0008597515698056668
Central South University,452,0.009897735384583939,0.0020840027755184565,2.4798493541311473e-05,0.001446094895072747,2.4798424419714138e-05,2.479838440194726e-05,2.4798265258141328e-05,0.007791228075802792,0.8197871744632721,2.4798248887236696e-05
Czech Technical University in Prague,454,0.124630949029779,3.703493439388694e-05,3.703471338667441e-05,3.703523998410674e-05,0.0360601891297847,3.703478341776645e-05,3.7034741581010167e-05,0.32542636854395823,0.0014355944322232972,0.013566447927587433
Indian Institute of Technology Indore (IIT Indore),454,0.0008781303185969591,0.36677153408527374,0.04186458489857614,0.0008781835786066949,0.1791257287550252,0.0008780992357060313,0.0008781387005001307,0.07026760530425236,0.0008780949574429542,0.3358241394162178
Sultan Qaboos University,454,0.14060865342617035,0.1676330649825104,0.00011697603986249305,0.11629797609930392,0.0001169773495348636,0.0001169801653304603,0.060166814346303,0.00011698039816110395,0.007234394543047529,0.23938524723052979
Universität Mannheim,454,0.0010305815085303038,0.4948457474820316,0.0010306069743819535,0.0010304894531145692,0.001030500396154821,0.001030473125865683,0.13010202237637714,0.0010304983879905194,0.0010304792667739093,0.001030528888804838
"Essex, University of",459,7.892434223322198e-05,7.892110079410486e-05,7.892335997894406e-05,7.892221401561983e-05,7.892277426435612e-05,7.892036956036463e-05,0.00617098363727564,7.892380017437972e-05,0.19467904046177864,0.40139053761959076
